Name,Extracted_name,Value,Raw_unit,Type
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.9E-7,Scm−1,None
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",0.00021,Scm−1,None
Neat PI13FSI,"[{'P': '1.0', 'I': '14.0', 'F': '1.0', 'S': '1.0'}]",0.0037,mScm−1,None
Graphene oxide / vanadium pentoxi,"[{'V': '2.0', 'O': '5.0'}]",0.001,Scm−1,None
7P2O5-6TiO2-85SiO2,"[{'P': '2.0', 'O': '5.0'}]",0.015,S/cm,None
Li2S–P2S5,"[{'Li': '2.0', 'S': '1.0'}]",0.001,Scm−1,None
AlCl3 / EMIC,"[{'Al': '1.0', 'Cl': '3.0'}]",0.017,Scm−1,None
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.002745,S/cm,None
Methanol,"[{'C': '1.0', 'H': '4.0', 'O': '1.0'}]",0.179,Scm−1,None
PDAN / TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0001,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",1E-13,S/cm,None
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",1,Scm−1,None
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",5,S/cm,None
LiCF3SO3–AlCl3,"[{'Li': '1.0', 'C': '1.0', 'F': '3.0', 'S': '1.0', 'O': '3.0'}]",0.001,S/cm,None
LiFe0.9Mn0.1PO4,"[{'Li': '1.0', 'Fe': '0.9', 'Mn': '0.1', 'P': '1.0', 'O': '4.0'}]",2.63E-7,Scm−1,None
MgBr2,"[{'Mg': '1.0', 'Br': '2.0'}]",0.01,S/cm,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",1E-6,Scm−1,None
La8Y2(GeO4)5(CoO4)O2.5,"[{'Ge': '5.0', 'O': '26.5', 'La': '8.0', 'Y': '2.0', 'Co': '1.0'}]",0.027,Scm−1,None
70Li2S–30P2S5,"[{'Li': '2.0', 'S': '1.0'}]",0.017,mScm−1,None
Li2SO4,"[{'Li': '2.0', 'S': '1.0', 'O': '4.0'}]",1E-6,S/cm,None
Phosphate,"[{'P': '1.0', 'O': '4.0'}]",0.0002,Scm−1,None
Urea,"[{'N': '2.0', 'H': '4.0', 'C': '1.0', 'O': '1.0'}]",0.001,S/cm,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",1E-7,S/cm,None
Na2O,"[{'Na': '2.0', 'O': '1.0'}]",1.96E-44,S/cm,None
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0037,Scm−1,None
Li7-3xAlxLa3Zr2O12,"[{'Li': '7-3*x', 'Al': 'x', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",0.001,S/cm,None
LiCrTiO4,"[{'Li': '1.0', 'Cr': '1.0', 'Ti': '1.0', 'O': '4.0'}]",0.0023,Scm−1,None
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",1E-14,Scm−1,None
PEO-POSS / LiN(CF3CF2SO2)2,"[{'C': '4.0', 'F': '10.0', 'S': '2.0', 'O': '4.0', 'Li': '1.0', 'N': '1.0'}]",4,S/cm,None
Methanol,"[{'C': '1.0', 'H': '4.0', 'O': '1.0'}]",0.00033,S/cm,None
50Li2O–20Li2WO4–30B2O3,"[{'Li': '2.0', 'O': '1.0'}]",1E-6,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",0.000113,Scm−1,None
