Name,Extracted_name,Value,Raw_unit,Type
Li2SO4,"[{'Li': '2.0', 'S': '1.0', 'O': '4.0'}]",1,Whkg−1,None
AC / / LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",42,Whkg−1,None
67SnO · 33P2O5,"[{'Sn': '1.0', 'O': '1.0'}]",320,Wh/kg,None
RuO2 / MnOOH / C,"[{'Ru': '1.0', 'O': '2.0'}, {'Mn': '1.0', 'O': '2.0', 'H': '1.0'}, {'C': '1.0'}",3756.6666667,Wh/kg,None
Li2.23Co0.39N,"[{'Li': '2.23', 'Co': '0.39', 'N': '1.0'}]",192.66666667,Wh/kg,None
Heptane,"[{'C': '7.0', 'H': '16.0'}]",595,Whkg−1,None
SiO2 / JOSiO2 / JMSiO2 / OSiO2 /,"[{'Si': '1.0', 'O': '2.0'}, {'O': '3.0', 'Si': '1.0'}]",124.5,Wh/kg,None
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",23.32,Whkg−1,None
LiNi0.6Co0.2Mn0.2O1.95F0.05,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '1.95', 'F': '0.05'}",624.375,Wh/kg,None
CuGa2,"[{'Cu': '1.0', 'Ga': '2.0'}]",1179.9636364,Wh/kg,None
Cobalt nitride,"[{'Co': '1.0', 'N': '1.0'}]",947.79226891,Wh/kg,None
LiNi0.48Rh0.02Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.48', 'Rh': '0.02', 'Mn': '1.5', 'O': '4.0'}]",524.64066667,Wh/kg,None
MoO3,"[{'Mo': '1.0', 'O': '3.0'}]",52.87,Whkg−1,None
Mg–Li / LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",246,Whkg−1,None
NiS-C,"[{'Ni': '1.0', 'S': '1.0'}]",35.07,Wh/kg,None
SnSO4 / VOSO4,"[{'Sn': '1.0', 'S': '1.0', 'O': '4.0'}, {'V': '1.0', 'O': '5.0', 'S': '1.0'}]",60,Whkg−1,None
MoO2 / C,"[{'Mo': '1.0', 'O': '2.0'}, {'C': '1.0'}]",1552.9767647,Wh/kg,None
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",964.16254286,Wh/kg,None
NiMn,"[{'Ni': '1.0', 'Mn': '1.0'}]",14.68,Whkg−1,None
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",1550,Whkg−1,Cath
S @ n-hC,"[{'S': '1.0'}, {'C': '1.0'}]",4158.7,Wh/kg,None
NOFC,"[{'N': '1.0', 'O': '1.0', 'F': '1.0', 'C': '1.0'}]",112,Whkg−1,None
Li2Na2Ti6O14 @ Cu / C,"[{'Li': '2.0', 'Na': '2.0', 'Ti': '6.0', 'O': '14.0', 'Cu': '1.0'}, {'C': '1.0'",98.813270833,Wh/kg,None
PNPC,"[{'P': '2.0', 'N': '1.0', 'C': '1.0'}]",28.7,Whkg−1,None
Ni-NiCo2O4 @ ZnCo2O4,"[{'Zn': '1.0', 'Co': '2.0', 'O': '4.0'}]",3401.1,Wh/kg,None
Titanium phosphate,"[{'P': '4.0', 'O': '16.0', 'Ti': '3.0'}]",373.19047619,Wh/kg,None
