Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh
Mg2+ / Fâ co-doped LiNi0.5Mn1.5,"[{'Mg': '2.0'}, {'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",231.2995,Cath,124.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,143.1
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,138.0
SnO2 / MXene,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,736.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,133.6
ZnSnS3,"[{'Zn': '1.0', 'Sn': '1.0', 'S': '3.0'}]",280.27,Anod,329.8
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,105.0
Fe3O4 / Fe / C,"[{'Fe': '3.0', 'O': '4.0'}, {'Fe': '1.0'}, {'C': '1.0'}]",299.387,Cath,4000.0
Mn2O3,"[{'Mn': '2.0', 'O': '3.0'}]",157.873,Anod,1500.0
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,90.0
VO2(B),"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}]",93.7495,Cath,500.0
Na2Mn3O7,"[{'Na': '2.0', 'Mn': '3.0', 'O': '7.0'}]",322.78700000000003,Cath,219.0
Si / Ag,"[{'Si': '1.0'}, {'Ag': '1.0'}]",135.955,Anod,1420.0
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,1050.0
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.4535812,Cath,160.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,132.0
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,161.0
SnO2 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,50.0
Mn3O4-G,"[{'Mn': '3.0', 'O': '4.0'}]",228.81000000000003,Anod,643.0
LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,154.4
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anod,1300.0
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,1378.0
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anod,1321.0
Na2MnP2O7,"[{'Na': '2.0', 'Mn': '1.0', 'P': '2.0', 'O': '7.0'}]",274.85900000000004,Cath,76.8
K2FeO4,"[{'K': '2.0', 'Fe': '1.0', 'O': '4.0'}]",198.037,Cath,169.8
C6O6 @ graphene,"[{'C': '6.0', 'O': '6.0'}]",168.06,Cath,155.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,120.0
Ni3Sn2 / CNT,"[{'Ni': '3.0', 'Sn': '2.0'}]",413.499,Anod,1101.0
NH4V4O10,"[{'N': '1.0', 'H': '4.0', 'V': '4.0', 'O': '10.0'}]",381.795,Cath,162.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,125.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,110.0
LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",95.606,Anod,1087.1
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,110.0
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,60.5
Mn2O3 / CRC-20,"[{'Mn': '2.0', 'O': '3.0'}]",157.873,Anod,830.0
Co9S8 @ MoS2 / rGO,"[{'Co': '9.0', 'S': '10.0', 'Mo': '1.0'}]",946.947,Anod,1859.3
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,782.0
K2FeO4,"[{'K': '2.0', 'Fe': '1.0', 'O': '4.0'}]",198.037,Cath,353.0
ReS2 / rGO,"[{'Re': '1.0', 'S': '2.0'}]",250.33,Anod,918.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,159.4
NIB,"[{'N': '1.0', 'I': '1.0', 'B': '1.0'}]",151.717,Anod,130.0
LiFe0.2Mn1.8O4,"[{'Li': '1.0', 'Fe': '0.2', 'Mn': '1.8', 'O': '4.0'}]",180.9934,Cath,40.0
LFP / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,59.7
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Cath,1123.0
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,877.0
PTh,"[{'P': '1.0', 'Th': '1.0'}]",263.014,Cath,50.0
Sn4P3-GA,"[{'Sn': '4.0', 'P': '3.0'}]",567.762,Anod,162.0
FeSi6 / C,"[{'Fe': '1.0', 'Si': '6.0'}, {'C': '1.0'}]",236.366,Anod,1758.0
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,330.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1243.0
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Cath,142.0
MoO3 / G-47,"[{'Mo': '1.0', 'O': '3.0'}]",143.947,Anod,1243.5
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cath,591.0
MoO3 / C,"[{'Mo': '1.0', 'O': '3.0'}, {'C': '1.0'}]",155.958,Anod,1260.0
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,1995.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,150.0
CuSbS2,"[{'Cu': '1.0', 'Sb': '1.0', 'S': '2.0'}]",249.426,Anod,1005.0
LTO / C,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}, {'C': '1.0'}]",121.755,Anod,150.0
LiCoPO4 / C,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.854,Cath,93.0
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",231.531,Anod,625.0
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,136.0
Mg0.2Co0.2Ni0.2Cu0.2Zn0.2O,"[{'Mg': '0.2', 'Co': '0.2', 'Ni': '0.2', 'Cu': '0.2', 'Zn': '0.2', 'O': '1.0'}]",70.1704,Anod,490.0
LiNi1 / 3Mn1 / 3Co1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Mn': '0.3333', 'Co': '0.3333', 'O': '2.0'}]",96.4535812,Cath,140.0
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",76.695,Anod,891.0
NaMnF3,"[{'Na': '1.0', 'Mn': '1.0', 'F': '3.0'}]",134.922,Cath,150.0
Lithium titanate,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,175.0
NiCoP,"[{'Ni': '1.0', 'Co': '1.0', 'P': '1.0'}]",148.6,Anod,144.0
MoO2 / C,"[{'Mo': '1.0', 'O': '2.0'}, {'C': '1.0'}]",139.959,Anod,1290.0
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,319.0
Fe(VI),"[{'V': '1.0', 'I': '1.0', 'Fe': '1.0'}]",233.6865,Cath,406.0
NiS2 / C,"[{'Ni': '1.0', 'S': '2.0'}, {'C': '1.0'}]",134.824,Cath,1132.0
Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",173.817,Cath,146.0
Si @ C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,1569.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,125.0
CuO @ CMK-8,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anod,1405.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,90.0
RuO2 @ NiCo2O4,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",373.62299999999993,Cath,1420.0
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,30.0
SeS2,"[{'Se': '1.0', 'S': '2.0'}]",143.091,Cath,395.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,280.0
ZnSe-NC @ CoSe2-NC,"[{'Zn': '1.0', 'Se': '1.0'}, {'Co': '1.0', 'Se': '2.0'}]",361.226,Anod,707.2
ZnS / Fe9S10 @ C,"[{'Zn': '1.0', 'S': '1.0'}, {'Fe': '9.0', 'S': '10.0', 'C': '1.0'}]",932.656,Anod,566.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,157.1
ZnS / C,"[{'Zn': '1.0', 'S': '1.0'}, {'C': '1.0'}]",109.451,Anod,659.0
SnSe2,"[{'Sn': '1.0', 'Se': '2.0'}]",276.652,Anod,435.0
Ge / Cu3Ge,"[{'Ge': '1.0'}, {'Cu': '3.0', 'Ge': '1.0'}]",335.898,Anod,1100.0
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",339.70000000000005,Anod,285.0
Cu2Sb,"[{'Cu': '2.0', 'Sb': '1.0'}]",248.852,Anod,323.0
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Cath,275.5
S @ TiO2 / GA-1,"[{'S': '1.0', 'Ti': '1.0', 'O': '2.0'}]",111.925,Cath,869.0
Fe9S10 @ MoS2 @ C,"[{'Fe': '9.0', 'S': '10.0'}, {'Mo': '1.0', 'S': '2.0'}, {'C': '1.0'}]",995.286,Anod,197.0
