Name,Extracted_name,Value,Raw_unit,Type
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",4.6,V versus,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.5,V,Cath
Si / SiOx-1,"[{'Si': '1.0'}, {'Si': '1.0', 'O': 'x-1'}]",0.05,V,Anod
Lithium oxide,"[{'Li': '2.0', 'O': '1.0'}]",4.8,V,Cath
Li[Co-Ni]PO4,"[{'Li': '1.0', 'Co': '1.0'}]",4.5,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.1,V,Cath
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",2.08,V,Anod
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",3.8,V,Cath
PbO2 lead acid,"[{'Pb': '1.0', 'O': '2.0'}]",1.2,V,Cath
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",0.8,mV vs,Anod
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",1.062,V,Anod
PPy / S @ PPy,"[{'P': 'y+1'}, {'S': '1.0', 'P': 'y+1'}]",0.229,mV,Cath
Ferrous chloride,"[{'Fe': '1.0', 'Cl': '2.0'}]",0.24,V,Cath
Mo6S8,"[{'Mo': '6.0', 'S': '8.0'}]",1,V,Cath
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",0.0559,mV,Cath
Na-doped Li 3 V 2 ( PO 4 ) 3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",3,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.2,V,Cath
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",1.4,VversusL,Cath
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",3,VvsLi,Cath
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",3,Vvs.Na,Anod
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.45,V,Cath
Na3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",2.65,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.38,V,Cath
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",3,V,Cath
Mn3O4 / Fe3O4,"[{'Mn': '3.0', 'O': '4.0'}, {'Fe': '3.0', 'O': '4.0'}]",0.73,V,Anod
V2O5,"[{'V': '2.0', 'O': '5.0'}]",2.5,V,Cath
LiNi0.4Mn0.4Co0.2O2,"[{'Li': '1.0', 'Ni': '0.4', 'Mn': '0.4', 'Co': '0.2', 'O': '2.0'}]",4.5,V,Cath
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",3.6,V,Cath
